geneID,DFB,DFB,Fe,Fe
Ga0401699_0006070_4067_4822,28,16,0,0
Ga0401699_0006070_5101_5907,27,18,0,0
Ga0401699_0006070_5918_6328,7,8,0,0
Ga0401699_0006070_72_2081,191,118,3,1
Ga0401699_0006214_246_9314,13,22,0,2
Ga0401699_0006227_2425_2724,26,103,492,720
Ga0401699_0006235_133_9297,27,6,0,4
Ga0401699_0006270_1264_2493,15,16,127,113
Ga0401699_0006280_1718_3862,221,152,3,2
Ga0401699_0006280_372_680,16,15,0,0
Ga0401699_0006280_3911_4528,44,26,0,0
Ga0401699_0006280_4689_6341,166,136,5,0
Ga0401699_0006280_691_1704,79,59,0,0
Ga0401699_0006280_7818_8342,37,12,0,0
Ga0401699_0006354_96_9212,21,8,72,123
Ga0401699_0006387_116_9190,23,25,5,2
Ga0401699_0006410_3911_4834,8,18,10,2
Ga0401699_0006410_6346_6492,22,33,10,0
Ga0401699_0006410_7120_7215,4,12,1,2
Ga0401699_0006528_38_8803,95,63,28,32
Ga0401699_0006533_29_9106,40,35,0,0
Ga0401699_0006780_109_8856,27,23,0,1
Ga0401699_0006847_200_8752,33,15,5,3
Ga0401699_0006863_6203_8782,56,39,0,0
Ga0401699_0006891_1_8835,27,22,0,0
Ga0401699_0007049_204_8822,114,47,8,5
Ga0401699_0007093_5420_6685,29,27,220,106
Ga0401699_0007198_85_8628,38,21,1,6
Ga0401699_0007243_664_8586,22,26,0,5
Ga0401699_0007258_6663_8711,146,186,982,699
Ga0401699_0007311_3_8687,28,21,0,2
Ga0401699_0007442_2_8617,82,40,1,3
Ga0401699_0007472_344_8602,49,12,0,0
Ga0401699_0007505_457_8592,146,81,4,2
Ga0401699_0007606_65_8290,63,43,7,1
Ga0401699_0007610_36_8252,194,82,0,0
Ga0401699_0007660_1_8346,336,282,41,63
Ga0401699_0007675_113_8269,39,14,8,1
Ga0401699_0007716_1_8481,285,128,16,23
Ga0401699_0007818_70_8439,36,39,6,5
Ga0401699_0007860_158_8278,313,210,31,33
Ga0401699_0007891_2_8383,46,25,0,1
Ga0401699_0007893_1_8403,23,23,89,69
Ga0401699_0007907_4762_8298,122,71,33,26
Ga0401699_0007966_3_6851,79,56,5,11
Ga0401699_0007998_90_8318,100,48,15,6
Ga0401699_0008082_68_8257,31,25,8,0
Ga0401699_0008087_1_8265,66,39,3,9
Ga0401699_0008216_7_4488,12,8,0,3
Ga0401699_0008321_5058_7460,682,1010,2962,2057
Ga0401699_0008394_30_7892,53,37,1,0
Ga0401699_0008550_493_7788,57,21,0,1
Ga0401699_0008563_1_6255,67,13,0,0
Ga0401699_0008581_1_7785,54,72,7,4
Ga0401699_0008606_209_8080,17,10,4,2
Ga0401699_0008613_81_8075,74,64,10,2
Ga0401699_0008634_1_7713,74,32,6,7
Ga0401699_0008669_69_7886,139,49,3,6
Ga0401699_0008794_2_7993,54,19,5,2
Ga0401699_0008797_158_8005,42,20,0,1
Ga0401699_0008812_1697_2236,32,16,0,0
Ga0401699_0008812_2410_2988,65,41,3,2
Ga0401699_0008812_3044_4192,105,96,0,1
Ga0401699_0008948_45_4727,105,84,5,3
Ga0401699_0009008_831_7262,61,61,15,11
Ga0401699_0009079_395_7330,49,27,1,0
Ga0401699_0009095_1_7893,56,33,4,4
Ga0401699_0009126_259_7854,254,134,32,24
Ga0401699_0009158_2_7600,51,25,0,0
Ga0401699_0009335_98_1162,21,32,122,69
Ga0401699_0009388_228_7796,17,20,1,2
Ga0401699_0009425_239_7744,71,20,0,0
Ga0401699_0009452_156_7763,85,52,5,8
Ga0401699_0009520_129_7754,15,30,3,1
Ga0401699_0009610_17_7723,125,100,13,15
Ga0401699_0009766_53_2107,120,113,41,39
Ga0401699_0009791_44_7201,24,16,5,0
Ga0401699_0009793_1_7650,17,13,1,3
Ga0401699_0009907_60_7613,27,22,0,0
Ga0401699_0009940_31_7602,20,24,0,0
Ga0401699_0009943_2525_3316,183,154,6,2
Ga0401699_0009943_3612_5126,372,342,6,2
Ga0401699_0009943_750_1946,85,45,3,2
